@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_ZeroCross_on_ACC_X numeric
@attribute F8_ZeroCross_on_ACC_Y numeric
@attribute F9_ZeroCross_on_ACC_Z numeric
@attribute F10_PositiveZeroCross_on_ACC_X numeric
@attribute F11_PositiveZeroCross_on_ACC_X numeric
@attribute F12_PositiveZeroCross_on_ACC_Y numeric
@attribute F13_PositiveZeroCross_on_ACC_Y numeric
@attribute F14_PositiveZeroCross_on_ACC_Z numeric
@attribute F15_PositiveZeroCross_on_ACC_Z numeric
@attribute F16_PositiveZeroCross_on_GY_X numeric
@attribute F17_PositiveZeroCross_on_GY_Y numeric
@attribute F18_PositiveZeroCross_on_GY_Z numeric
@attribute F19_NegativeZeroCross_on_ACC_X numeric
@attribute F20_NegativeZeroCross_on_ACC_X numeric
@attribute F21_NegativeZeroCross_on_ACC_Y numeric
@attribute F22_NegativeZeroCross_on_ACC_Y numeric
@attribute F23_NegativeZeroCross_on_ACC_Z numeric
@attribute F24_NegativeZeroCross_on_ACC_Z numeric
@attribute F25_NegativeZeroCross_on_GY_X numeric
@attribute F26_NegativeZeroCross_on_GY_Y numeric
@attribute F27_NegativeZeroCross_on_GY_Z numeric
@attribute class {down, left, up, stand}

@data
-0.237671, 0.322021, -0.20166, 0, 0, 0, 50, 41, 73, 24, 24, 20, 21, 36, 36, 0, 0, 0, 26, 26, 20, 20, 38, 37, 0, 0, 0, stand
0.0946655, 1.0498, 0.397217, 0, 0, 0, 42, 66, 72, 22, 22, 34, 33, 36, 36, 0, 0, 0, 20, 20, 34, 33, 36, 36, 0, 0, 0, stand
0.114258, -0.829102, -0.771973, 0, 0, 0, 36, 30, 52, 18, 18, 12, 14, 26, 27, 0, 0, 0, 18, 18, 14, 16, 24, 25, 0, 0, 0, stand
0.295898, 0.749512, -0.500488, 0, 0, 0, 70, 51, 62, 36, 35, 24, 25, 34, 31, 0, 0, 0, 36, 35, 26, 26, 34, 31, 0, 0, 0, stand
-0.206787, -0.125854, 1.10645, 0, 0, 0, 36, 34, 50, 18, 18, 18, 18, 26, 25, 0, 0, 0, 18, 18, 16, 16, 26, 25, 0, 0, 0, stand
0.275879, 1.00781, -0.000781059, 0, 0, 0, 50, 24, 38, 24, 25, 10, 11, 18, 19, 0, 0, 0, 24, 25, 12, 13, 18, 19, 0, 0, 0, stand
2.31055, -2.55469, 0.512207, 0, 0, 0, 8, 12, 30, 4, 4, 6, 6, 16, 14, 0, 0, 0, 4, 4, 6, 6, 18, 16, 0, 0, 0, stand
-0.0966187, -0.016571, 0.0507202, 0, 0, 0, 38, 59, 40, 18, 18, 32, 30, 24, 21, 0, 0, 0, 20, 20, 30, 29, 22, 19, 0, 0, 0, stand
1.10547, -0.752441, 0.30249, 0, 0, 0, 45, 42, 70, 22, 22, 22, 22, 30, 34, 0, 0, 0, 24, 23, 20, 20, 32, 36, 0, 0, 0, stand
1.04199, 0.539551, -0.601563, 0, 0, 0, 26, 48, 66, 14, 14, 24, 24, 32, 33, 0, 0, 0, 12, 12, 24, 24, 32, 33, 0, 0, 0, stand
-0.0181885, 0.288818, 0.362305, 0, 0, 0, 26, 33, 70, 12, 13, 18, 16, 34, 35, 0, 0, 0, 12, 13, 18, 17, 34, 35, 0, 0, 0, stand
0.133423, 0.719727, 0.247925, 0, 0, 0, 36, 36, 62, 18, 18, 14, 18, 32, 31, 0, 0, 0, 18, 18, 14, 18, 32, 31, 0, 0, 0, stand
0.459717, -0.521973, 0.00150681, 0, 0, 0, 42, 37, 62, 20, 21, 18, 19, 28, 31, 0, 0, 0, 20, 21, 16, 18, 28, 31, 0, 0, 0, stand
0.82666, -0.175415, 0.353027, 0, 0, 0, 34, 36, 68, 16, 16, 18, 18, 36, 34, 0, 0, 0, 18, 18, 18, 18, 36, 34, 0, 0, 0, stand
-0.135498, 1.62988, -0.629883, 0, 0, 0, 42, 70, 72, 20, 22, 36, 35, 34, 37, 0, 0, 0, 18, 20, 36, 35, 32, 35, 0, 0, 0, stand
-1.39063, 0.36377, -0.234131, 0, 0, 0, 52, 36, 46, 28, 26, 18, 18, 20, 23, 0, 0, 0, 28, 26, 18, 18, 20, 23, 0, 0, 0, stand
0.339111, 0.784668, 0.571289, 0, 0, 0, 16, 30, 42, 8, 8, 14, 14, 22, 20, 0, 0, 0, 8, 8, 16, 16, 24, 22, 0, 0, 0, stand
0.143433, 0.176636, -0.552734, 0, 0, 0, 29, 36, 66, 14, 15, 18, 19, 32, 33, 0, 0, 0, 14, 14, 16, 17, 32, 33, 0, 0, 0, stand
0.255127, -1.40918, 0.384766, 0, 0, 0, 14, 18, 62, 6, 6, 8, 8, 30, 32, 0, 0, 0, 8, 8, 10, 10, 28, 30, 0, 0, 0, stand
-0.205933, -0.209473, -0.44043, 0, 0, 0, 19, 38, 61, 10, 10, 20, 20, 30, 30, 0, 0, 0, 10, 9, 18, 18, 32, 31, 0, 0, 0, stand
